"","Home","Away","R"
"1","Arsenal","Leicester","H"
"2","Brighton","Man City","A"
"3","Chelsea","Burnley","A"
"4","Crystal Palace","Huddersfield","A"
"5","Everton","Stoke","H"
"8","West Brom","Bournemouth","H"
"9","Man United","West Ham","H"
"10","Newcastle","Tottenham","A"
"11","Bournemouth","Watford","A"
"12","Burnley","West Brom","A"
"13","Leicester","Brighton","H"
"14","Liverpool","Crystal Palace","H"
"15","Southampton","West Ham","H"
"16","Stoke","Arsenal","H"
"17","Swansea","Man United","A"
"18","Huddersfield","Newcastle","H"
"19","Tottenham","Chelsea","A"
"21","Bournemouth","Man City","A"
"22","Crystal Palace","Swansea","A"
"24","Man United","Leicester","H"
"25","Newcastle","West Ham","H"
"27","Chelsea","Everton","H"
"28","Liverpool","Arsenal","H"
"31","Arsenal","Bournemouth","H"
"32","Brighton","West Brom","H"
"33","Everton","Tottenham","A"
"34","Leicester","Chelsea","A"
"35","Man City","Liverpool","H"
"36","Southampton","Watford","A"
"38","Burnley","Crystal Palace","H"
"39","Swansea","Newcastle","A"
"40","West Ham","Huddersfield","H"
"41","Bournemouth","Brighton","H"
"42","Crystal Palace","Southampton","A"
"45","Newcastle","Stoke","H"
"47","Watford","Man City","A"
"50","Man United","Everton","H"
"52","Everton","Bournemouth","H"
"53","Leicester","Liverpool","A"
"54","Man City","Crystal Palace","H"
"55","Southampton","Man United","A"
"56","Stoke","Chelsea","A"
"57","Swansea","Watford","A"
"58","West Ham","Tottenham","A"
"59","Brighton","Newcastle","H"
"60","Arsenal","West Brom","H"
"62","Chelsea","Man City","A"
"63","Huddersfield","Tottenham","A"
"64","Man United","Crystal Palace","H"
"65","Stoke","Southampton","H"
"67","West Ham","Swansea","H"
"68","Arsenal","Brighton","H"
"69","Everton","Burnley","A"
"72","Crystal Palace","Chelsea","H"
"74","Man City","Stoke","H"
"75","Swansea","Huddersfield","H"
"76","Tottenham","Bournemouth","H"
"77","Watford","Arsenal","H"
"81","West Ham","Brighton","A"
"82","Chelsea","Watford","H"
"83","Huddersfield","Man United","H"
"84","Man City","Burnley","H"
"85","Newcastle","Crystal Palace","H"
"86","Southampton","West Brom","H"
"87","Stoke","Bournemouth","A"
"88","Swansea","Leicester","A"
"89","Everton","Arsenal","A"
"90","Tottenham","Liverpool","H"
"91","Arsenal","Swansea","H"
"92","Bournemouth","Chelsea","A"
"94","Liverpool","Huddersfield","H"
"95","Man United","Tottenham","H"
"96","Watford","Stoke","A"
"97","West Brom","Man City","A"
"99","Leicester","Everton","H"
"100","Burnley","Newcastle","H"
"101","Huddersfield","West Brom","H"
"102","Newcastle","Bournemouth","A"
"103","Southampton","Burnley","A"
"105","Swansea","Brighton","A"
"106","West Ham","Liverpool","A"
"107","Chelsea","Man United","H"
"108","Everton","Watford","H"
"109","Man City","Arsenal","H"
"110","Tottenham","Crystal Palace","H"
"111","Arsenal","Tottenham","H"
"112","Bournemouth","Huddersfield","H"
"113","Burnley","Swansea","H"
"115","Leicester","Man City","A"
"116","Liverpool","Southampton","H"
"117","Man United","Newcastle","H"
"118","West Brom","Chelsea","A"
"119","Watford","West Ham","H"
"122","Crystal Palace","Stoke","H"
"124","Man United","Brighton","H"
"125","Newcastle","Watford","A"
"128","Burnley","Arsenal","A"
"129","Huddersfield","Man City","A"
"130","Southampton","Everton","H"
"132","Leicester","Tottenham","H"
"133","Watford","Man United","A"
"135","Arsenal","Huddersfield","H"
"136","Bournemouth","Burnley","A"
"137","Chelsea","Swansea","H"
"138","Everton","West Ham","H"
"139","Man City","Southampton","H"
"140","Stoke","Liverpool","A"
"141","Arsenal","Man United","A"
"142","Brighton","Liverpool","A"
"143","Chelsea","Newcastle","H"
"144","Everton","Huddersfield","H"
"145","Leicester","Burnley","H"
"146","Stoke","Swansea","H"
"150","Man City","West Ham","H"
"151","Burnley","Watford","H"
"153","Huddersfield","Brighton","H"
"154","Newcastle","Leicester","A"
"155","Swansea","West Brom","H"
"156","Tottenham","Stoke","H"
"157","West Ham","Chelsea","H"
"159","Man United","Man City","A"
"161","Burnley","Stoke","H"
"162","Crystal Palace","Watford","H"
"163","Huddersfield","Chelsea","A"
"165","Man United","Bournemouth","H"
"166","Newcastle","Everton","A"
"167","Southampton","Leicester","A"
"168","Swansea","Man City","A"
"169","Tottenham","Brighton","H"
"171","Arsenal","Newcastle","H"
"173","Chelsea","Southampton","H"
"174","Leicester","Crystal Palace","A"
"175","Man City","Tottenham","H"
"176","Stoke","West Ham","A"
"177","Watford","Huddersfield","A"
"178","Bournemouth","Liverpool","A"
"179","West Brom","Man United","A"
"180","Everton","Swansea","H"
"182","Brighton","Watford","H"
"183","Burnley","Tottenham","A"
"186","Man City","Bournemouth","H"
"188","Stoke","West Brom","H"
"190","West Ham","Newcastle","A"
"192","Chelsea","Brighton","H"
"194","Liverpool","Swansea","H"
"196","Tottenham","Southampton","H"
"197","Watford","Leicester","H"
"199","Newcastle","Man City","A"
"200","Crystal Palace","Arsenal","A"
"201","Bournemouth","Everton","H"
"202","Chelsea","Stoke","H"
"204","Liverpool","Leicester","H"
"207","Watford","Swansea","A"
"211","Burnley","Liverpool","A"
"212","Everton","Man United","A"
"213","Leicester","Huddersfield","H"
"214","Stoke","Newcastle","A"
"215","Man City","Watford","H"
"216","Southampton","Crystal Palace","A"
"217","Swansea","Tottenham","A"
"218","West Ham","West Brom","H"
"222","Crystal Palace","Burnley","H"
"223","Huddersfield","West Ham","A"
"225","Tottenham","Everton","H"
"227","West Brom","Brighton","H"
"228","Bournemouth","Arsenal","H"
"229","Liverpool","Man City","H"
"230","Man United","Stoke","H"
"231","Arsenal","Crystal Palace","H"
"232","Brighton","Chelsea","A"
"233","Burnley","Man United","A"
"235","Leicester","Watford","H"
"236","Man City","Newcastle","H"
"237","Stoke","Huddersfield","H"
"240","Swansea","Liverpool","H"
"241","Huddersfield","Liverpool","A"
"242","Swansea","Arsenal","H"
"244","Chelsea","Bournemouth","A"
"245","Everton","Leicester","H"
"246","Man City","West Brom","H"
"250","Tottenham","Man United","H"
"251","Arsenal","Everton","H"
"252","Bournemouth","Stoke","H"
"253","Brighton","West Ham","H"
"256","Man United","Huddersfield","H"
"257","West Brom","Southampton","A"
"260","Watford","Chelsea","H"
"261","Everton","Crystal Palace","H"
"262","Man City","Leicester","H"
"264","Swansea","Burnley","H"
"265","Tottenham","Arsenal","H"
"266","West Ham","Watford","H"
"267","Huddersfield","Bournemouth","H"
"268","Newcastle","Man United","H"
"269","Southampton","Liverpool","A"
"270","Chelsea","West Brom","H"
"272","Brighton","Swansea","H"
"275","Liverpool","West Ham","H"
"276","Watford","Everton","H"
"277","West Brom","Huddersfield","A"
"278","Crystal Palace","Tottenham","A"
"279","Man United","Chelsea","H"
"280","Arsenal","Man City","A"
"281","Burnley","Everton","H"
"283","Liverpool","Newcastle","H"
"285","Swansea","West Ham","H"
"286","Tottenham","Huddersfield","H"
"287","Watford","West Brom","H"
"288","Brighton","Arsenal","H"
"289","Man City","Chelsea","H"
"290","Crystal Palace","Man United","A"
"291","Chelsea","Crystal Palace","H"
"292","Everton","Brighton","H"
"294","Man United","Liverpool","H"
"295","Newcastle","Southampton","H"
"296","West Brom","Leicester","A"
