"","Home","Away","R"
"297","West Ham","Burnley","A"
"298","Arsenal","Watford","H"
"299","Bournemouth","Tottenham","A"
"300","Stoke","Man City","A"
"301","Bournemouth","West Brom","H"
"302","Huddersfield","Crystal Palace","A"
"303","Liverpool","Watford","H"
"304","Stoke","Everton","A"
"305","Brighton","Leicester","A"
"306","Crystal Palace","Liverpool","A"
"307","Everton","Man City","A"
"308","Man United","Swansea","H"
"309","Newcastle","Huddersfield","H"
"311","West Brom","Burnley","A"
"312","West Ham","Southampton","H"
"313","Arsenal","Stoke","H"
"314","Chelsea","Tottenham","A"
"318","Leicester","Newcastle","A"
"319","Man City","Man United","A"
"320","Stoke","Tottenham","A"
"321","Watford","Burnley","A"
"323","Arsenal","Southampton","H"
"325","Burnley","Leicester","H"
"326","Crystal Palace","Brighton","H"
"327","Huddersfield","Watford","H"
"328","Liverpool","Bournemouth","H"
"329","Southampton","Chelsea","A"
"331","Tottenham","Man City","A"
"332","Man United","West Brom","A"
"333","Newcastle","Arsenal","H"
"336","Bournemouth","Man United","A"
"337","Burnley","Chelsea","A"
"339","Leganes","Alaves","H"
"340","Valencia","Las Palmas","H"
"341","Celta","Sociedad","A"
"345","Barcelona","Betis","H"
"346","La Coruna","Real Madrid","A"
"347","Levante","Villarreal","H"
"348","Malaga","Eibar","A"
"349","Betis","Celta","H"
"350","Sociedad","Villarreal","H"
"351","Alaves","Barcelona","A"
"352","Girona","Malaga","H"
"353","Las Palmas","Ath Madrid","A"
"355","Eibar","Ath Bilbao","A"
"356","Espanol","Leganes","A"
"357","Getafe","Sevilla","A"
"359","Leganes","Getafe","A"
"360","Barcelona","Espanol","H"
"362","Sevilla","Eibar","H"
"364","Ath Bilbao","Girona","H"
"365","Celta","Alaves","H"
"366","La Coruna","Sociedad","A"
"367","Villarreal","Betis","H"
"368","Malaga","Las Palmas","A"
"369","Eibar","Leganes","H"
"370","Ath Madrid","Malaga","H"
"371","Betis","La Coruna","H"
"372","Getafe","Barcelona","A"
"374","Alaves","Villarreal","A"
"375","Girona","Sevilla","A"
"376","Las Palmas","Ath Bilbao","H"
"377","Sociedad","Real Madrid","A"
"378","Espanol","Celta","H"
"379","Barcelona","Eibar","H"
"380","Valencia","Malaga","H"
"381","Ath Bilbao","Ath Madrid","A"
"382","La Coruna","Alaves","H"
"384","Real Madrid","Betis","A"
"385","Sevilla","Las Palmas","H"
"387","Levante","Sociedad","H"
"389","Alaves","Real Madrid","A"
"390","Ath Madrid","Sevilla","H"
"391","Girona","Barcelona","A"
"393","Eibar","Celta","A"
"394","Espanol","La Coruna","H"
"395","Getafe","Villarreal","H"
"396","Las Palmas","Leganes","A"
"397","Sociedad","Valencia","A"
"398","Betis","Levante","H"
"400","La Coruna","Getafe","H"
"402","Levante","Alaves","A"
"403","Sevilla","Malaga","H"
"404","Barcelona","Las Palmas","H"
"405","Real Madrid","Espanol","H"
"407","Valencia","Ath Bilbao","H"
"408","Villarreal","Eibar","H"
"410","Alaves","Sociedad","A"
"411","Ath Bilbao","Sevilla","H"
"413","Getafe","Real Madrid","A"
"414","Betis","Valencia","A"
"416","Girona","Villarreal","A"
"417","Malaga","Leganes","A"
"418","Las Palmas","Celta","A"
"419","Barcelona","Malaga","H"
"420","Betis","Alaves","H"
"422","Valencia","Sevilla","H"
"423","Celta","Ath Madrid","A"
"424","Leganes","Ath Bilbao","H"
"425","Real Madrid","Eibar","H"
"426","Villarreal","Las Palmas","H"
"427","La Coruna","Girona","A"
"429","Alaves","Valencia","A"
"430","Ath Bilbao","Barcelona","A"
"432","Sevilla","Leganes","H"
"434","Getafe","Sociedad","H"
"435","Girona","Real Madrid","H"
"436","Malaga","Celta","H"
"437","Espanol","Betis","H"
"438","Las Palmas","La Coruna","A"
"440","Alaves","Espanol","H"
"441","Barcelona","Sevilla","H"
"442","La Coruna","Ath Madrid","A"
"443","Valencia","Leganes","H"
"444","Celta","Ath Bilbao","H"
"445","Levante","Girona","A"
"446","Real Madrid","Las Palmas","H"
"447","Sociedad","Eibar","H"
"448","Villarreal","Malaga","H"
"451","Getafe","Alaves","H"
"452","Leganes","Barcelona","A"
"453","Sevilla","Celta","H"
"455","Espanol","Valencia","A"
"456","Las Palmas","Levante","A"
"457","Malaga","La Coruna","H"
"458","Eibar","Betis","H"
"459","Celta","Leganes","H"
"460","Alaves","Eibar","A"
"462","Levante","Ath Madrid","A"
"463","Real Madrid","Malaga","H"
"467","Villarreal","Sevilla","A"
"468","Espanol","Getafe","H"
"471","Ath Madrid","Sociedad","H"
"473","Sevilla","La Coruna","H"
"474","Eibar","Espanol","H"
"475","Getafe","Valencia","H"
"476","Las Palmas","Betis","H"
"477","Leganes","Villarreal","H"
"478","Girona","Alaves","A"
"479","Alaves","Las Palmas","H"
"481","La Coruna","Leganes","H"
"482","Real Madrid","Sevilla","H"
"483","Valencia","Celta","H"
"484","Betis","Ath Madrid","A"
"485","Levante","Ath Bilbao","A"
"486","Sociedad","Malaga","A"
"487","Villarreal","Barcelona","A"
"488","Espanol","Girona","A"
"491","Ath Madrid","Alaves","H"
"492","Eibar","Valencia","H"
"493","Barcelona","La Coruna","H"
"494","Celta","Villarreal","A"
"495","Girona","Getafe","H"
"497","Malaga","Betis","A"
"499","Getafe","Las Palmas","H"
"500","Sociedad","Sevilla","H"
"501","Alaves","Malaga","H"
"502","Eibar","Girona","H"
"503","Betis","Ath Bilbao","A"
"504","Espanol","Ath Madrid","H"
"505","La Coruna","Celta","A"
"506","Real Madrid","Barcelona","A"
"507","Valencia","Villarreal","A"
"508","Ath Madrid","Getafe","H"
"509","Las Palmas","Eibar","A"
"510","Sevilla","Betis","A"
"511","Valencia","Girona","H"
"512","Ath Bilbao","Alaves","H"
"513","Barcelona","Levante","H"
"515","Leganes","Sociedad","H"
"517","Malaga","Espanol","A"
"518","Getafe","Malaga","H"
"519","Eibar","Ath Madrid","A"
"520","Girona","Las Palmas","H"
"521","La Coruna","Valencia","A"
"522","Real Madrid","Villarreal","A"
"523","Alaves","Sevilla","H"
"525","Levante","Celta","A"
"526","Sociedad","Barcelona","A"
"527","Betis","Leganes","H"
"530","Espanol","Sevilla","A"
"531","Las Palmas","Valencia","H"
"532","Villarreal","Levante","H"
"534","Betis","Barcelona","A"
"535","Real Madrid","La Coruna","H"
"536","Sociedad","Celta","A"
"541","Valencia","Real Madrid","A"
"542","Villarreal","Sociedad","H"
"543","Ath Madrid","Las Palmas","H"
"544","Barcelona","Alaves","H"
"545","Leganes","Espanol","H"
"547","Celta","Betis","H"
"548","Sociedad","La Coruna","H"
"549","Alaves","Celta","H"
"550","Betis","Villarreal","H"
"551","Eibar","Sevilla","H"
"553","Ath Madrid","Valencia","H"
"556","Girona","Ath Bilbao","H"
"557","Las Palmas","Malaga","H"
"559","Leganes","Eibar","A"
"560","Malaga","Ath Madrid","A"
"561","Real Madrid","Sociedad","H"
"562","Villarreal","Alaves","A"
"565","Sevilla","Girona","H"
"566","Valencia","Levante","H"
"567","La Coruna","Betis","A"
"568","Girona","Leganes","H"
"569","Alaves","La Coruna","H"
"570","Eibar","Barcelona","A"
"571","Las Palmas","Sevilla","A"
"572","Malaga","Valencia","A"
"573","Ath Madrid","Ath Bilbao","H"
"574","Betis","Real Madrid","A"
"576","Sociedad","Levante","H"
"577","Getafe","Celta","H"
"578","Leganes","Real Madrid","A"
"580","Barcelona","Girona","H"
"581","Celta","Eibar","H"
"583","Real Madrid","Alaves","H"
"584","Ath Bilbao","Malaga","H"
"585","Sevilla","Ath Madrid","A"
"586","Valencia","Sociedad","H"
"587","Villarreal","Getafe","H"
"588","Levante","Betis","A"
"589","Espanol","Real Madrid","H"
"590","Girona","Celta","H"
"592","Ath Madrid","Leganes","H"
"593","Eibar","Villarreal","H"
"594","Getafe","La Coruna","H"
"595","Malaga","Sevilla","A"
"596","Alaves","Levante","H"
"600","Leganes","Malaga","H"
"601","Real Madrid","Getafe","H"
"602","Sevilla","Ath Bilbao","H"
"603","Villarreal","Girona","A"
"604","Barcelona","Ath Madrid","H"
"606","Sociedad","Alaves","H"
"607","Valencia","Betis","H"
"608","Celta","Las Palmas","H"
"609","Girona","La Coruna","H"
"610","Eibar","Real Madrid","A"
"611","Getafe","Levante","A"
"612","Malaga","Barcelona","A"
"613","Sevilla","Valencia","A"
"614","Ath Bilbao","Leganes","H"
"615","Ath Madrid","Celta","H"
"616","Espanol","Sociedad","H"
"617","Las Palmas","Villarreal","A"
"618","Alaves","Betis","A"
"619","Levante","Eibar","H"
"620","Betis","Espanol","H"
"622","Sociedad","Getafe","A"
"623","Valencia","Alaves","H"
"624","Barcelona","Ath Bilbao","H"
"626","Leganes","Sevilla","H"
"627","Real Madrid","Girona","H"
"628","Villarreal","Ath Madrid","H"
"631","Las Palmas","Real Madrid","A"
"633","Ath Madrid","La Coruna","H"
"636","Leganes","Valencia","A"
"637","Malaga","Villarreal","H"
"638","Getafe","Betis","A"
"639","La Coruna","Malaga","H"
"640","Alaves","Getafe","H"
"641","Barcelona","Leganes","H"
"642","Betis","Eibar","H"
"643","Celta","Sevilla","H"
"644","Levante","Las Palmas","H"
"646","Sociedad","Girona","H"
"647","Valencia","Espanol","H"
"648","Villarreal","Ath Bilbao","A"
"649","Girona","Betis","A"
"650","Ath Bilbao","La Coruna","A"
"651","Barcelona","Valencia","H"
"652","Las Palmas","Sociedad","A"
"653","Leganes","Celta","H"
"655","Ath Madrid","Levante","H"
"656","Eibar","Alaves","A"
"657","Getafe","Espanol","H"
"658","Malaga","Real Madrid","A"
"661","Villarreal","Leganes","H"
"662","Espanol","Eibar","A"
"664","Valencia","Getafe","A"
"665","Alaves","Girona","A"
"666","Betis","Las Palmas","H"
"667","Levante","Malaga","H"
"668","Sociedad","Ath Madrid","H"
"669","Bayern Munich","Leverkusen","H"
"670","Hamburg","Augsburg","H"
"671","Hertha","Stuttgart","H"
"672","Hoffenheim","Werder Bremen","H"
"673","Mainz","Hannover","A"
"674","Schalke 04","RB Leipzig","H"
"675","Wolfsburg","Dortmund","A"
"677","M'gladbach","FC Koln","H"
"678","FC Koln","Hamburg","A"
"680","Dortmund","Hertha","H"
"681","Ein Frankfurt","Wolfsburg","A"
"683","Stuttgart","Mainz","H"
"684","Werder Bremen","Bayern Munich","A"
"685","Hannover","Schalke 04","H"
"686","RB Leipzig","Freiburg","H"
"687","Hamburg","RB Leipzig","A"
"688","Augsburg","FC Koln","H"
"690","Hoffenheim","Bayern Munich","H"
"691","Mainz","Leverkusen","H"
"692","M'gladbach","Ein Frankfurt","A"
"695","Schalke 04","Stuttgart","H"
"696","Hannover","Hamburg","H"
"697","Bayern Munich","Mainz","H"
"698","Ein Frankfurt","Augsburg","A"
"700","Stuttgart","Wolfsburg","H"
"701","Werder Bremen","Schalke 04","A"
"702","Dortmund","FC Koln","H"
"704","Leverkusen","Freiburg","H"
"705","Augsburg","RB Leipzig","H"
"706","M'gladbach","Stuttgart","H"
"707","Schalke 04","Bayern Munich","A"
"709","FC Koln","Ein Frankfurt","A"
"711","Hamburg","Dortmund","A"
"712","Hertha","Leverkusen","H"
"713","Mainz","Hoffenheim","A"
"715","Dortmund","M'gladbach","H"
"716","Hoffenheim","Schalke 04","H"
"717","Mainz","Hertha","H"
"718","RB Leipzig","Ein Frankfurt","H"
"722","Leverkusen","Hamburg","H"
"724","Augsburg","Dortmund","A"
"725","Ein Frankfurt","Stuttgart","H"
"727","M'gladbach","Hannover","H"
"729","FC Koln","RB Leipzig","A"
"730","Freiburg","Hoffenheim","H"
"732","Stuttgart","FC Koln","H"
"733","Bayern Munich","Freiburg","H"
"734","Dortmund","RB Leipzig","A"
"735","Hannover","Ein Frankfurt","A"
"736","Hertha","Schalke 04","A"
"738","Mainz","Hamburg","H"
"740","Werder Bremen","M'gladbach","A"
"741","Schalke 04","Mainz","H"
"742","Augsburg","Hannover","A"
"744","Hamburg","Bayern Munich","A"
"745","M'gladbach","Leverkusen","A"
"746","RB Leipzig","Stuttgart","H"
"751","Bayern Munich","RB Leipzig","H"
"752","Hannover","Dortmund","H"
"753","Hertha","Hamburg","H"
"754","Hoffenheim","M'gladbach","A"
"755","Leverkusen","FC Koln","H"
"757","Stuttgart","Freiburg","H"
"758","Werder Bremen","Augsburg","A"
"759","Ein Frankfurt","Werder Bremen","H"
"761","Dortmund","Bayern Munich","A"
"762","Freiburg","Schalke 04","A"
"763","Hamburg","Stuttgart","H"
"765","RB Leipzig","Hannover","H"
"766","FC Koln","Hoffenheim","A"
"768","Stuttgart","Dortmund","H"
"769","Bayern Munich","Augsburg","H"
"770","Hertha","M'gladbach","A"
"773","Mainz","FC Koln","H"
"774","Wolfsburg","Freiburg","H"
"775","Schalke 04","Hamburg","H"
"776","Werder Bremen","Hannover","H"
"778","Augsburg","Wolfsburg","H"
"780","Ein Frankfurt","Leverkusen","A"
"781","Freiburg","Mainz","H"
"782","M'gladbach","Bayern Munich","H"
"783","RB Leipzig","Werder Bremen","H"
"784","FC Koln","Hertha","A"
"785","Hamburg","Hoffenheim","H"
"787","Bayern Munich","Hannover","H"
"788","Hoffenheim","RB Leipzig","H"
"790","Mainz","Augsburg","A"
"792","Werder Bremen","Stuttgart","H"
"793","Hertha","Ein Frankfurt","A"
"794","Wolfsburg","M'gladbach","H"
"795","Stuttgart","Leverkusen","A"
"796","Dortmund","Werder Bremen","A"
"797","Ein Frankfurt","Bayern Munich","A"
"802","FC Koln","Freiburg","A"
"803","Hannover","Hoffenheim","H"
"804","Freiburg","M'gladbach","H"
"805","Hamburg","Ein Frankfurt","A"
"806","Mainz","Dortmund","A"
"808","Bayern Munich","FC Koln","H"
"809","Hertha","Hannover","H"
"810","Hoffenheim","Stuttgart","H"
"811","Leverkusen","Werder Bremen","H"
"812","Schalke 04","Augsburg","H"
"813","M'gladbach","Hamburg","H"
"815","Dortmund","Hoffenheim","H"
"817","FC Koln","Wolfsburg","H"
"818","Stuttgart","Bayern Munich","A"
"821","RB Leipzig","Hertha","A"
"822","Leverkusen","Bayern Munich","A"
"823","Augsburg","Hamburg","H"
"825","Hannover","Mainz","H"
"826","RB Leipzig","Schalke 04","H"
"827","Stuttgart","Hertha","H"
"830","FC Koln","M'gladbach","H"
"832","Freiburg","RB Leipzig","H"
"833","Hamburg","FC Koln","A"
"834","Hoffenheim","Leverkusen","A"
"835","Mainz","Stuttgart","H"
"836","M'gladbach","Augsburg","H"
"837","Wolfsburg","Ein Frankfurt","A"
"838","Bayern Munich","Werder Bremen","H"
"840","Ein Frankfurt","M'gladbach","H"
"841","Bayern Munich","Hoffenheim","H"
"845","Stuttgart","Schalke 04","A"
"847","Hannover","Wolfsburg","A"
"848","Leverkusen","Mainz","H"
"849","FC Koln","Dortmund","A"
"852","Mainz","Bayern Munich","A"
"853","M'gladbach","RB Leipzig","A"
"854","Schalke 04","Werder Bremen","A"
"856","Augsburg","Ein Frankfurt","H"
"858","RB Leipzig","Augsburg","H"
"859","Bayern Munich","Schalke 04","H"
"860","Dortmund","Hamburg","H"
"861","Ein Frankfurt","FC Koln","H"
"862","Hannover","Freiburg","H"
"863","Hoffenheim","Mainz","H"
"864","Leverkusen","Hertha","A"
"865","Stuttgart","M'gladbach","H"
"866","Werder Bremen","Wolfsburg","H"
"867","Hertha","Mainz","A"
"869","Freiburg","Werder Bremen","H"
"870","Hamburg","Leverkusen","A"
"871","Schalke 04","Hoffenheim","H"
"872","Wolfsburg","Bayern Munich","A"
"873","Augsburg","Stuttgart","A"
"874","M'gladbach","Dortmund","A"
"875","Ein Frankfurt","RB Leipzig","H"
"878","Hannover","M'gladbach","A"
"880","Stuttgart","Ein Frankfurt","H"
"881","Werder Bremen","Hamburg","H"
"882","Leverkusen","Schalke 04","A"
"883","RB Leipzig","FC Koln","A"
"886","Augsburg","Hoffenheim","A"
"887","Ein Frankfurt","Hannover","H"
"890","Schalke 04","Hertha","H"
"891","Wolfsburg","Leverkusen","A"
"892","FC Koln","Stuttgart","A"
"893","Freiburg","Bayern Munich","A"
"894","Mainz","Schalke 04","A"
"895","Bayern Munich","Hamburg","H"
"896","Hannover","Augsburg","A"
"898","Hoffenheim","Wolfsburg","H"
"899","Leverkusen","M'gladbach","H"
"900","Dortmund","Ein Frankfurt","H"
"902","Werder Bremen","FC Koln","H"
"903","Freiburg","Stuttgart","A"
"904","Augsburg","Werder Bremen","A"
"905","Ein Frankfurt","Mainz","H"
"906","Hamburg","Hertha","A"
"908","Wolfsburg","Schalke 04","A"
"909","Dortmund","Hannover","H"
"910","FC Koln","Leverkusen","H"
"911","RB Leipzig","Bayern Munich","H"
"912","Bayern Munich","Dortmund","H"
"913","Hannover","RB Leipzig","A"
"915","Hoffenheim","FC Koln","H"
"917","Schalke 04","Freiburg","H"
"920","Werder Bremen","Ein Frankfurt","H"
"921","Hannover","Werder Bremen","H"
"922","Augsburg","Bayern Munich","A"
"924","Freiburg","Wolfsburg","A"
"925","Hamburg","Schalke 04","H"
"926","M'gladbach","Hertha","H"
"927","Dortmund","Stuttgart","H"
"929","RB Leipzig","Leverkusen","A"
"931","Bayern Munich","M'gladbach","H"
"932","Hertha","FC Koln","H"
"933","Hoffenheim","Hamburg","H"
"934","Leverkusen","Ein Frankfurt","H"
"936","Schalke 04","Dortmund","H"
"938","Mainz","Freiburg","H"
"939","Juventus","Cagliari","H"
"940","Verona","Napoli","A"
"941","Atalanta","Roma","A"
"943","Crotone","Milan","A"
"944","Inter","Fiorentina","H"
"946","Sampdoria","Benevento","H"
"948","Udinese","Chievo","A"
"949","Benevento","Bologna","A"
"950","Genoa","Juventus","A"
"951","Roma","Inter","A"
"952","Chievo","Lazio","A"
"954","Fiorentina","Sampdoria","A"
"955","Milan","Cagliari","H"
"956","Napoli","Atalanta","H"
"957","Spal","Udinese","H"
"958","Torino","Sassuolo","H"
"959","Juventus","Chievo","H"
"960","Atalanta","Sassuolo","H"
"961","Benevento","Torino","A"
"962","Bologna","Napoli","A"
"963","Cagliari","Crotone","H"
"964","Inter","Spal","H"
"965","Lazio","Milan","H"
"966","Udinese","Genoa","H"
"967","Verona","Fiorentina","A"
"968","Crotone","Inter","A"
"969","Fiorentina","Bologna","H"
"970","Roma","Verona","H"
"972","Genoa","Lazio","A"
"973","Milan","Udinese","H"
"974","Napoli","Benevento","H"
"975","Sassuolo","Juventus","A"
"976","Spal","Cagliari","A"
"979","Atalanta","Crotone","H"
"980","Benevento","Roma","A"
"981","Cagliari","Sassuolo","A"
"983","Juventus","Fiorentina","H"
"984","Lazio","Napoli","A"
"985","Milan","Spal","H"
"986","Udinese","Torino","A"
"988","Juventus","Torino","H"
"989","Roma","Udinese","H"
"990","Spal","Napoli","A"
"991","Cagliari","Chievo","A"
"992","Crotone","Benevento","H"
"994","Inter","Genoa","H"
"995","Sampdoria","Milan","H"
"996","Sassuolo","Bologna","A"
"997","Verona","Lazio","A"
"998","Genoa","Bologna","A"
"999","Udinese","Sampdoria","H"
"1001","Benevento","Inter","A"
"1002","Chievo","Fiorentina","H"
"1003","Lazio","Sassuolo","H"
"1004","Milan","Roma","A"
"1005","Napoli","Cagliari","H"
"1008","Juventus","Lazio","A"
"1009","Roma","Napoli","A"
"1010","Bologna","Spal","H"
"1011","Cagliari","Genoa","A"
"1013","Fiorentina","Udinese","H"
"1014","Inter","Milan","H"
"1015","Sampdoria","Atalanta","H"
"1017","Verona","Benevento","H"
"1019","Sampdoria","Crotone","H"
"1020","Atalanta","Bologna","H"
"1021","Benevento","Fiorentina","A"
"1022","Chievo","Verona","H"
"1023","Lazio","Cagliari","H"
"1025","Spal","Sassuolo","A"
"1026","Torino","Roma","A"
"1027","Udinese","Juventus","A"
"1028","Inter","Sampdoria","H"
"1029","Atalanta","Verona","H"
"1030","Bologna","Lazio","A"
"1031","Cagliari","Benevento","H"
"1032","Chievo","Milan","A"
"1033","Fiorentina","Torino","H"
"1034","Genoa","Napoli","A"
"1035","Juventus","Spal","H"
"1036","Roma","Crotone","H"
"1037","Sassuolo","Udinese","A"
"1038","Milan","Juventus","A"
"1039","Roma","Bologna","H"
"1040","Benevento","Lazio","A"
"1041","Crotone","Fiorentina","H"
"1042","Napoli","Sassuolo","H"
"1043","Sampdoria","Chievo","H"
"1044","Spal","Genoa","H"
"1045","Torino","Cagliari","H"
"1046","Udinese","Atalanta","H"
"1047","Verona","Inter","A"
"1048","Bologna","Crotone","A"
"1049","Genoa","Sampdoria","A"
"1051","Cagliari","Verona","H"
"1053","Fiorentina","Roma","A"
"1055","Juventus","Benevento","H"
"1056","Sassuolo","Milan","A"
"1057","Napoli","Milan","H"
