,Overall,Ball Control,Short Passing,Stamina,Strength,Positioning,Acceleration,Dribbling,Finishing,Heading Accuracy,Interceptions Midfield,Long Shots,Vision,Interceptions Defense,Sliding Tackle,Standing Tackle,GK
Leicester,77,71,68,75,73,64,82,78,75,60,59,70,73,79,76,80,83
Man City,82,76,75,75,73,66,81,87,79,57,57,75,87,80,79,80,82
Burnley,74,69,67,76,75,60,70,74,69,67,70,64,73,74,75,75,81
Huddersfield,72,63,64,71,72,56,76,74,68,58,63,64,66,70,71,72,74
Stoke,76,68,69,67,72,59,79,81,70,50,68,74,75,77,76,79,77
Bournemouth,75,65,65,68,70,57,78,74,75,54,68,63,72,72,72,76,77
West Ham,77,67,66,71,73,58,80,81,75,74,55,70,78,77,77,79,80
Tottenham,81,72,74,77,74,62,78,83,78,67,64,77,80,82,83,85,83
Watford,76,68,66,70,74,60,76,79,70,61,71,71,75,72,74,77,80
West Brom,76,68,67,69,75,54,73,79,72,62,72,73,73,79,76,79,76
Brighton,73,66,66,71,70,57,73,75,67,60,69,72,72,73,73,74,77
Crystal Palace,75,67,67,71,76,58,74,77,72,59,71,68,71,75,76,77,74
Arsenal,82,73,73,73,70,64,79,85,78,62,55,79,84,81,83,82,82
Man United,82,74,74,76,76,64,75,84,78,66,76,73,82,82,77,82,85
Newcastle,74,72,70,73,70,62,76,78,71,59,62,72,74,72,76,77,71
Chelsea,83,73,72,76,74,62,82,85,79,58,62,75,82,84,83,85,84
Swansea,75,67,68,68,72,56,76,77,69,54,69,63,74,75,74,76,76
Everton,79,73,74,74,74,59,72,78,77,67,62,74,78,82,81,83,76
Liverpool,80,74,73,75,70,66,85,86,79,59,64,75,81,79,80,81,80
Southampton,77,70,69,71,70,58,76,81,67,56,61,71,76,78,77,80,76
Alaves,74,68,69,69,69,58,76,79,72,52,65,70,71,73,73,75,77
Las Palmas,76,70,72,70,68,63,76,82,72,43,58,71,81,75,77,76,73
Sociedad,78,73,75,61,67,61,68,79,75,59,63,75,79,79,81,79,83
Betis,76,68,69,66,66,59,79,82,73,54,57,68,77,75,77,74,75
Real Madrid,84,77,77,74,72,63,79,87,84,70,63,88,85,83,85,85,82
Villarreal,79,69,70,68,71,60,81,81,75,64,70,74,81,81,81,80,80
Eibar,76,68,68,73,74,56,76,79,69,55,56,70,74,75,77,77,76
Celta,76,69,68,67,67,59,71,78,75,64,66,74,77,77,77,76,76
Barcelona,84,77,78,73,68,68,85,90,82,58,56,77,87,84,82,83,83
