,Overall,Ball Control,Short Passing,Stamina,Strength,Positioning,Acceleration,Dribbling,Finishing,Heading Accuracy,Interceptions Midfield,Long Shots,Vision,Interceptions Defense,Sliding Tackle,Standing Tackle,GK
Malaga,75,70,69,67,68,62,78,78,74,48,61,72,77,75,77,76,75
Ath Madrid,82,73,72,70,69,63,83,83,79,63,76,72,79,81,82,83,84
Ath Bilbao,78,71,71,67,71,63,76,78,71,60,76,72,78,81,80,82,78
Leganes,75,65,66,70,69,56,83,80,72,62,59,70,74,75,71,75,75
Sevilla,79,74,74,71,73,63,73,84,75,61,66,74,83,81,79,80,82
Getafe,73,66,65,69,68,57,78,78,65,52,66,71,73,74,75,74,71
Espanol,77,66,70,64,67,57,77,80,75,63,66,70,79,78,78,79,79
Girona,73,65,67,68,67,53,79,74,72,59,70,71,73,72,72,75,74
La Coruna,76,70,70,65,65,59,75,80,74,50,48,71,76,77,77,78,74
Valencia,77,70,69,69,67,61,77,81,73,67,70,71,76,79,80,80,77
Levante,74,68,66,69,68,59,81,78,70,59,67,74,71,72,76,75,74
Leverkusen,77,69,72,72,71,59,81,81,72,53,61,75,80,79,79,81,80
Augsburg,74,65,66,67,70,57,75,76,67,59,65,67,73,74,75,77,75
Stuttgart,73,66,64,69,67,56,72,74,58,63,68,70,72,76,74,75,74
Werder Bremen,74,67,68,68,69,57,74,78,72,58,65,70,74,73,72,73,74
Hannover,73,65,65,69,72,56,75,73,69,64,64,68,72,72,73,76,73
RB Leipzig,76,66,67,71,68,59,86,84,73,49,62,64,77,75,71,74,74
Dortmund,81,76,77,73,67,66,82,85,80,59,73,73,81,81,82,82,84
FC Koln,76,69,71,72,73,57,78,78,69,57,76,73,75,78,77,80,84
Hamburg,74,66,65,67,72,55,76,78,66,50,66,73,72,68,74,70,72
Hertha,76,70,69,69,67,60,76,82,71,60,66,61,77,76,76,77,79
Wolfsburg,77,71,72,72,75,63,79,80,76,55,66,72,76,80,78,78,78
Mainz,75,68,70,71,68,59,80,79,70,59,53,72,74,74,74,76,79
Bayern Munich,84,76,77,72,70,65,81,88,80,59,80,79,80,84,85,87,84
Schalke 04,77,70,70,69,67,59,79,82,69,53,61,71,78,79,81,81,77
Freiburg,72,63,64,69,68,54,75,72,68,57,56,64,70,71,73,73,73
Ein Frankfurt,75,69,69,68,74,58,76,78,69,60,64,69,75,73,75,78,81
Hoffenheim,76,71,70,70,74,62,78,82,74,54,65,68,76,74,74,77,82
M'gladbach,77,69,71,71,70,62,82,83,77,52,61,68,78,77,77,79,78
Cagliari,73,65,64,66,65,57,79,75,66,56,65,72,72,72,71,73,73
Napoli,80,73,71,76,67,59,86,85,75,56,68,72,82,78,77,80,83
Roma,80,73,71,74,73,60,82,81,73,60,82,80,76,82,81,82,80
Milan,79,70,70,73,71,57,75,79,68,58,69,76,78,83,82,82,79
Fiorentina,76,71,70,73,70,62,71,80,73,61,66,72,77,78,76,78,78
Benevento,71,64,61,66,63,53,75,74,60,55,69,70,67,72,70,72,71
Chievo,74,66,65,63,71,55,78,78,64,60,69,75,76,76,75,76,74
Bologna,74,66,66,68,68,52,82,80,62,52,61,70,76,71,72,73,77
Juventus,84,72,72,72,75,60,83,86,75,64,69,79,82,84,84,85,85
Inter,79,71,70,73,68,62,77,83,72,62,75,74,80,77,77,80,80
Lazio,78,68,68,67,73,57,77,81,72,62,68,80,73,81,80,81,77
Sampdoria,74,67,67,68,68,57,75,78,67,56,68,68,72,74,70,74,76
Atalanta,74,67,66,71,72,53,76,79,68,53,62,74,76,76,73,76,74
Udinese,74,66,63,65,72,54,75,77,62,59,69,71,72,73,73,75,75
Sassuolo,75,67,66,66,68,54,79,77,65,57,62,71,74,79,77,79,77
Torino,76,71,69,71,71,59,79,82,74,62,64,72,77,75,76,78,79
Crotone,69,63,61,69,69,52,73,72,54,55,64,66,68,67,69,70,72
Spal,72,64,63,65,69,50,69,74,68,65,61,69,72,67,69,69,73
Genoa,74,66,65,65,64,55,79,78,65,54,61,71,70,74,72,75,77
Verona,71,66,65,64,62,52,78,75,58,53,64,66,72,73,74,75,69
Toulouse,73,65,68,71,71,58,78,78,69,57,56,71,72,72,72,75,74
Strasbourg,70,58,62,67,72,51,71,71,70,60,65,66,73,69,71,72,69
Guingamp,73,67,67,64,66,58,79,75,71,61,61,68,71,72,73,74,72
Caen,72,65,66,66,69,54,71,73,66,61,59,69,74,73,73,75,72
Amiens,72,69,67,66,70,59,76,76,67,66,65,62,73,70,70,71,73
Nice,77,71,72,70,73,59,77,79,74,57,70,71,81,76,73,77,75
Nantes,74,66,67,65,69,56,74,76,68,54,69,71,69,72,72,77,75
Dijon,72,61,63,65,67,53,70,73,64,43,61,63,70,70,71,71,75
Troyes,69,62,64,62,67,54,62,71,66,59,63,65,70,71,71,72,74
Lyon,76,67,67,71,75,56,81,81,65,57,62,73,74,75,77,79,76
Angers,73,66,67,66,71,53,74,75,69,64,67,64,71,75,74,75,74
Metz,71,64,65,67,68,53,73,74,64,64,66,68,67,70,70,71,72
St Etienne,74,68,69,72,70,57,79,76,72,64,68,68,72,76,74,78,85
Marseille,77,67,69,68,72,60,79,82,75,69,55,78,78,79,79,77,78
Montpellier,73,65,62,67,70,53,79,75,69,63,76,68,69,74,70,72,76
Monaco,79,71,70,71,72,60,80,83,79,69,73,73,77,77,79,80,81
Paris SG,82,76,75,72,70,64,80,89,77,61,69,73,82,82,82,84,80
Lille,71,59,59,60,67,49,77,78,66,63,70,65,67,73,72,75,70
Rennes,72,65,67,69,69,55,73,76,67,61,67,67,74,74,72,75,69
Bordeaux,74,67,69,69,68,62,75,77,72,63,65,66,75,78,73,78,77
